date,account_id,active_flows,successful_runs,failed_runs,error_rate,p95_runtime_sec,dashboard_views,product_events,open_support_tickets,arr_at_risk,expansion_signal,data_quality_score,metric_freshness_hours,certified_metric_coverage
2026-01-01,ACC001,12,2344,110,0.0452,80.6,23,342,1,16697,4937,83.7,9.7,74.1
2026-01-01,ACC002,42,9644,509,0.0502,64.8,44,3489,1,88731,59346,84.7,11.4,85.6
2026-01-01,ACC003,4,1008,20,0.0197,49.1,4,188,0,1565,1567,93.1,2.8,80.8
2026-01-01,ACC004,49,10257,20,0.002,35.9,44,2571,2,24363,40118,93.1,7.9,81.8
2026-01-01,ACC005,17,2025,69,0.033,51.7,26,258,2,10628,3041,80.1,7.2,74.5
2026-01-01,ACC006,13,2226,38,0.017,42.3,16,145,0,3333,1353,86.2,5.3,80.3
2026-01-01,ACC007,51,10337,341,0.0319,60.9,50,2691,2,55630,33290,93.7,10.4,67.8
2026-01-01,ACC008,15,2050,18,0.0091,55.6,9,268,0,2955,4482,90.0,1.4,80.7
2026-01-01,ACC009,7,1095,2,0.002,42.1,11,278,0,124,1667,93.2,3.5,79.9
2026-01-01,ACC010,29,5189,90,0.0172,44.5,35,491,0,10573,6147,91.6,5.7,69.8
2026-01-01,ACC011,34,5206,62,0.0119,50.6,28,363,0,7260,4495,95.3,3.7,79.0
2026-01-01,ACC012,6,1387,7,0.0054,22.0,20,55,0,285,222,99,5.9,69.3
2026-01-01,ACC013,2,1111,2,0.002,57.0,8,352,1,561,2078,94.6,4.2,82.1
2026-01-01,ACC014,43,8856,125,0.014,57.7,42,3560,2,31536,47698,92.2,7.1,77.9
2026-01-01,ACC015,27,4716,9,0.002,44.4,31,1131,2,12294,19369,90.1,12.0,76.1
2026-01-01,ACC016,10,2206,103,0.0449,58.3,19,616,3,19204,8590,81.8,14.3,78.6
2026-01-01,ACC017,7,906,44,0.0471,66.7,9,291,3,4405,2194,77.2,17.3,77.5
